ABR,Mean_bits,Mean_logbits,Mean_psnr,Mean_ssim,Mean_vmaf,Mean_SDNdash,Mean_FTW,Mean_videoAtlas,Mean_scoresp1203,Mean_scoresbiqps
Pensieve,37.57967261770109,59.21772336983041,62.95181082438893,61.92855647764668,54.59543440020485,54.59543440020486,66.47527784242266,58.029687721635455,3.1331702724051773,3.971891
FastMPC,58.918759887387,71.17005315154674,66.07476905968524,66.55767420038751,67.63832683072958,67.63832683072968,63.814855991337225,69.30705691930098,3.9331680042304566,3.002530358024692
BufferOccupancy,58.92149107949446,73.91580417308757,64.79410409751536,64.96913368738247,67.71452457982117,67.71452457982119,66.54285160775818,66.9213115922776,3.460540245612831,4.727428432098766
RateBased,53.61643287419924,63.74160008594655,67.89895916584328,68.735672115093,69.03671028917867,69.03671028917876,66.16732185239388,69.44054209619696,3.8753950070160723,3.3175699506172847
