ABR,Mean_FTW,Mean_bits,Mean_logbits,Mean_psnr,Mean_ssim,Mean_vmaf,Mean_SDNdash,Mean_videoAtlas,Mean_scoresbiqps,Mean_scoresp1203
th,65.57332254172056,19.90009530816361,51.585210798996066,63.492070987674715,65.13646336959887,57.64263314096116,57.642633140961216,64.32962839854066,2.5734258137254904,4.0650857165797145
bb,59.92430156199956,28.636656125190818,33.67670311785198,48.67664413501902,46.55554891316492,54.00149932557357,54.001499325573505,61.67988194306247,2.6033905,3.3744356408335903
mpc,65.7949689073402,19.08058927977552,52.73406847959293,61.94347240940378,63.71324427520057,57.8221805294657,57.82218052946575,63.45355048859148,2.5869300588235298,3.919927894532315
